ensembl_gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000144741	450.9729842757796	-0.18608603687745914	0.1362271469037441	-1.3659981957116414	0.17193952970669346	0.2715017900522222
ENSG00000169181	1.3771531066637643	-2.3215853239254782	1.700267231166211	-1.3654237883142086	0.1721198914102078	0.2717615806401349
ENSG00000079313	545.6475136927396	-0.2999422219213446	0.21968049018234967	-1.3653566671868416	0.17214097641825402	0.27176986321166746
ENSG00000169224	2.7914438169140943	-1.277672838552525	0.9359183886862646	-1.3651541138602652	0.17220461695904882	0.27184532319287513
ENSG00000119242	586.0086078577052	0.13445843240916436	0.09853520223928885	1.3645725522807306	0.172387436502438	0.27210889011120803
ENSG00000096060	1880.457071605916	0.18365475012118057	0.13459406194698847	1.3645085634871117	0.1724075608649981	0.27211562223545555
ENSG00000116035	0.6867375446503587	-2.8056774801892934	2.056546074934957	-1.3642667744645738	0.17248361895055728	0.27218559127689335
ENSG00000226321	0.6867375446503587	-2.8056774801892934	2.056546074934957	-1.3642667744645738	0.17248361895055728	0.27218559127689335
ENSG00000206199	3.644398099764079	1.2370316880266772	0.9070262105302207	1.363832349787935	0.17262033629611123	0.2723762856509726
ENSG00000169704	1.1178003837813015	-2.7044872922726104	1.9837061008942678	-1.3633507962965934	0.17277198019242543	0.27259049527739176
ENSG00000139718	972.1876659957909	0.25644055885118583	0.1881288655346507	1.3631111744728672	0.17284747555531935	0.2726845334294014
ENSG00000280294	2.184570765009569	-1.679393518346925	1.232139720725176	-1.3629895133634014	0.1728858156005026	0.2727199433734875
ENSG00000174450	0.9495811146197504	-3.3068070296041094	2.426370775245417	-1.3628613826630185	0.17292620133431777	0.2727585734964354
ENSG00000149646	7.525491999838439	1.2250307243166156	0.8995940229124852	1.3617595194224514	0.17327379066164744	0.2732817078934228
ENSG00000117620	3.7754531567132754	1.383704072091946	1.0163849450132578	1.3613976465126576	0.17338805946596952	0.2734367945144398
ENSG00000081138	0.6752983421432597	-2.805608556917937	2.061984342714178	-1.360635238008127	0.1736289899146544	0.2737915824791508
ENSG00000214253	1206.9139008346472	0.1611475366753037	0.1184426186718156	1.3605536459964314	0.1736547888026765	0.27380710037459327
ENSG00000102882	1200.3116741276456	-0.1670485367678927	0.12281348001243442	-1.3601807940869328	0.1737727187145632	0.2739678680239342
ENSG00000144635	1102.885614794106	-0.18302061992107332	0.13458903542836056	-1.359847920289852	0.1738780544317097	0.2741087521076144
ENSG00000140992	3687.1391185152847	-0.20497962509847845	0.15080973729583513	-1.3591935691551615	0.17408525856228518	0.2744101852468249
ENSG00000108591	210.42927066841054	0.20849044954905743	0.15344733439002875	1.3587101423288424	0.17423845692106024	0.27462644165456107
ENSG00000151572	4.013761442724663	-1.5691879992921853	1.1556908699657984	-1.3577921571177802	0.17452964426822096	0.27506013009590663
ENSG00000023228	1093.1172245633138	-0.19017893233673308	0.14008651006824704	-1.3575820558602119	0.17459634000955024	0.27513997078286767
ENSG00000111843	840.1883807339318	-0.15300904254209946	0.11271418255494721	-1.3574959164301161	0.17462369010070453	0.2751577991319578
ENSG00000072042	322.50536772908083	-0.19849284664200226	0.14632074781013368	-1.356559815423902	0.1749211173773662	0.27557584537332197
ENSG00000142515	1.2873926651272463	2.0748104119315087	1.5294573525351696	1.3565663720484804	0.17491903282767124	0.27557584537332197
ENSG00000167548	1473.8092417189523	-0.3727008286668219	0.27483894138616194	-1.35606994695544	0.17507691385900645	0.2757959684165289
ENSG00000187535	49.08064871306237	-0.36241568711860966	0.26730382817998066	-1.3558192921748522	0.17515667148494737	0.2758962792012051
ENSG00000215704	14.625955775799309	1.0065594708158598	0.7424933344285454	1.3556478208528984	0.17521124877941108	0.2759569126635887
ENSG00000170619	526.7292282070727	0.3366108577464118	0.24839751229097604	1.355129746034258	0.17537622295481275	0.2761913936171342
